الدكتور المشرف,العام الدراسي,اسم المشروع,وصف المشروع
عامر بوشي ,2020-2021,"تطبيق خدمي لتلبية الحالات الاسعافية
باستخدام الاندرويد",شركة خاصة لسيارات الإسعاف بالإضافة لتطبيق أندرويد لتلبية الحالات الاسعافية بسبب الانتشار الكبير والسريع لنظام الأندرويد
حازم عيسى,2020-2021,تصميم وتنفيذ cncثلاثية الأبعاد," أن كلمة CNC ىي اختصار لػ Control Numerical Computerized و بشكل عاام تعني التحكـ الرقمي باستخداام
الحاسب وبشكل خاص تعني التحكـ الرقمي باالات المبرمجة أو قيادة آالات التشغيل باستخداام الحاسب وذلك باستخداـم
لغة برمجة خاصة
"
محمود رحال -أحمد بليد,2020-2021,تصميم وتنفيذ منظومة مراقبة وتحكم بسيارة,"الهدف من المشروع هو بناء سيارة يتم التحكم بها بأكثر من طريقة وبمجالين(عن قرب, عن بعد) ومراقبة الطريق أثناء حركتها من خلال بث مباشر عبر كاميرا مثبتة بها ومراقبة مؤشراتها الحيوية (سرعة , زيت , حرارة , مياه , وقود , اهتزازات على المحاور(Z,Y,X ) )وتحديد موقعها ( احداثيات الطول والعرض)."
عامر بوشي,2020_2021,اتمتة مول تسوق,سماح للزبون بالتصفح وطلب منتجات عبر الانترنيت الى بناء وسيلة الترونية تسهل التواصل بين زبون ومحل وذلك باستثمار جهاز موبايل الحاص بل زبون للتواصل عن بعد وبشكل الكتروني مع مركز تسوق والذي يكون لديه تطبيق مخدم ينتظر طلب زبون ويتجاوب مع طلب 
محمود رحال_ عثمان اسماعيل,2020_2021,تصميم ساعة تشابهية باستخدام الاردوينو,الاردينو هو عبارة عن لوحة الكترونية مفتوحة مصدر تتكون من مايكرو كنترولر قابل للبرمجة عن طريق برنامج arduino IDE وهي مصممة لجعل عملية استخدام الكترونات تفاعلية في مشاريع متعددة التخصصات
عثمان اسماعيل,2020_2021,كشف العملة المزيفة باستخدام تقنيات معالجة صورة,يضل تزييف العملات الورقية هاجسا يؤرق العديد من مؤسسات والشركات العامة لتأثيرها  السلبي على الاقتصاد ولصعوبة اكتشافها حيث تخضع جميع مراحل الانتاج عمولات النقد الورقية لاحدث طرق التكنولوجية ولعمليات تأمينية متطورة 
ديمة مفتي الشوافعة,2020_2021,تتبع التلاقي المكاني امخالطي مرضى الكورونا باستخدام تقنية GPS,يهدف هذا المشروع الى استخدام تكنولوجيا وكريسها في خدمة البشرية في ضلهذه الفترة الحرجة على كافة البشر وذلك من خلال تبليغ الاشخاص مستخدمي التطبيق باحتمالية اصابتهم بالوباء جراء مخالطة سابقة لشخص مسحته ايجابية ليقوم بحجز نفسه في منزل او اي مركز عزل صحي واستخدام اجراءات الاحترازية
 حازم عيسى _احمد بليد_ عامر بوشي,2020_2021,اتمتة القاعات الامتحانية باستخدام الخوارزمية الجينية,تحويل عملية توزيع الطلاب والمراقبين على القاعات الامتحانية من عملية يدوية وعشوائية بحتة تتطلب الكثير من جهد ووالوقت الى نظام الكتروني يمكن التعامل معه بسهولة ويسر وذلك من خلال وجود نظام الكتروني متكامل في كافة مجالات المرتبطة بعمليات التوزيع للطلاب ورز مراقبين
عامر بوشي _ جهاد ططري,2020_2021,متجر الالبسة الذكي,يهدف الى توفير جهد الذهني للعميل عندما يقع في حيرة من امره في اختيار الملابس التي تناسبه وهذا مايقع فيه اغلب العملاء الذين يرغبون بشراء ملابس ولايستقرون على موديل الا بعد مضي ساعات طويلة من تصفح ومشاهدة كثير من ملابس
محمود رحال_ عثمان اسماعيل,2020_2021,تحكم بمصنع عن طريق الواي فاي,يهدف لتصميم بنية مصغرة للتحكم في عمل بعض الاجهزة الالكترونية كالمحركات واللدات وغيرها عن طريق تصميم صفحة ويب مهمتها التحكم في هذا المصنع ورفع هذه الصفحة على مخدم على الانترنيت ليتسنى الدخول اليها وتحكم عن بعد
ديمة مفتي  الشوافعة,2020_2021,منصة لبناء وتخديم المتاجر ,يهدف مشروع لبناء منصة رقمية وتخديم متاجر الالكترونية تتمحور الفكرة عامة حول تقديم خدمة للزبائن ليقومو ببناء متاجرهم الالكترونية بدون اي خبرات برمجية او تقنية سابقة وتقديم مساعدة اللازمة لهم لبدء باتجارة الالكترونية وصوصول الى زبائن مستهدفين وتوفير اضافات مساعدة تستخدم ذكاء الاصطناعي كاالتعرف على صوت وchatbot  ومصنف يقوم بتصنيف منتجات حسب الصورة
عامر بوشي_زكريا مهروسة_احمد بليد,2020_2021,تنفيذ نظام حماية وملاحقة المركبات باستخدام انظمة الملاحة عبر الاقمار صناعية,يهدف مشروع لبناء منظومة مراقبة وتحكم بالمركبات وتحديد موقع المركبة حال فقدان وتخاطب وتواصل مع مركبة وتعرف على هوية السارق من خلال فتح تسجيل صوتي وتحكم بلمركبة عن بعد
عامر بوشي_جهاد ططري,2020_2021,اتمتة بطاقة ذكية لتوزيع مواد تموينية,توزيع المواد تموينية لمادتي سكر والارز لكل اسرة وذلك لتجنب الازدحام بين مواطنين في اثناء محاولتهم الحصول على تلك مواد
ديمة مفتي الشوافعة,2020_2021,تطبيق اندرويد Grocery Market,هو تطبيق برمجي في الاساس  حيث انه برنامج تم إنشاؤه بواسطة كومبوتر وقد تم تصميمه وتطويره ليتم تشغيله على اجهزة iphone وهواتف ذكية والاجهزة اللوحية والعديد من الاجهزة محمولة الاخرى 
عامر بوشي_جهاد ططري,2020_2021,نظام GIS لحدائق مدينة حلب,بناء نظام معلومات جغرافي للحدائق في مدينة حلب بتطبيق android للهواتف ذكية من خلال مخططات للحدائق مدعومة بقواعد بيانات مخزنة على حاسب وتحتوي هذه القواعد على احداثيات مخططات ومعلومات المرتبطة مع هذه الاحداثيات
حازم عيسى_زكريامهروسة_عامر بوشي,2020_2021,متابعة مريض عن طريق التنبهات الذكية ,مساعدة المرضى على تذكر مواعيد تناول الادوية ومواعيد مراجعة الاطباء ومتابعة حالتهم الصحية من خلال تحاليل واتباع الحميات الغذائية
ديمة مفتي الشوافعة,2020_2021,تطبيق لتعليم وتطوير مهارات برمجية,يقوم تطبيق بتقديم عديد من كورسات البرمجية لمختلف اللغات ويقسم كل كورس تعليمي الى عدة مستويات وتتركز طريقة تقديم كل كورس عن طريق طرح معلومات بشكل كتل توضيحية لكل مفهوم برمجي تتميز بلبساطة والشرح مدعوم بتنسيقات وفي نهاية كل كورس يوجد امتحان يجبر مستخدم هلى تنفيذه للانتقال الى مستوى تالي 
ديمة مفتي الشوافعة,2020_2021,معرف السيارة_car detector,"يهدف هذا المشروع إلى تصميم وتنفيذ نظام برمجبي متطور يعتمد على تقنيات الذكاء الاصطناعي وتعلم الآلة للكشف عن السيارات وتحديد مواقعها ضمن الصور أو تدفقات الفيديو اللحظية. يقوم النظام بمعالجة الإطارات الصورية وعزل الأجسام المتحركة، ثم استخدام نماذج تدريبية عميقة (Deep Learning) لتمييز السيارات عن غيرها من الأجسام، مع إمكانية تصنيف نوع المركبة (سيارة، شاحنة، دراجة) وتتبع حركتها، مما يخدم أنظمة المرور الذكية والمراقبة الأمنية."""
محمود رحال_ عثمان اسماعيل,2020_2021,دراسة وتصميم منظومة روبوتية خاصة بأعمال وحدات الهندسة عسكرية,توظيف تكنولوجيا المتطورة في تطوير منظومة روبوتية من شأنها حماية الانسان وتخفيف الاضرار المادية وبشرية
عامر بوشي_ جهاد ططري,2020_2021,تطبيق اندرويد نظام GIS للصيدليات المناوبة,يهدف مشروع لمساعدة مستخدم في ايجاد صيدلية مناوبة ومساعدة المستخدم في ايجاد دواء وايجاد اقصر مسافة بين موقعة واقرب صيدلة ومساعدة مستخدم على تحدث مع صيدلي عن اي استفسار عن دواء
زكريا مهروسة,2020_2021,تطبيق اندرويد لحل المعادلات الرياضية المطبوعة ومكتوبة بخط يد,تم انشاء تطبيق اعتمادا على كاميرا موبايل حيث تم استخدام تقنية ocr التي تعتمد على خوارزمية تتبع مسار chain code كأداة في تتبع مسار الحرف وتمييزه قد تم بناء هذا تطبيق وكتابة برمجياته بواسطة لغة جافا وبيئة اندرويد استديو بالاضافة الى وجود الاله حاسبة تحوي متحولات يمكن كتابة معادلات وحلها ايضا قمنا بإضافة ميزة تحويلات القياس
عامر بوشي_جهاد ططري,2020_2021,مشروع الخير,هذا مشروع هو جسر يربط بين المتبرع والمؤسسات الخيريةحيث يتكون من تطبيقين تطبيق للجمعيات الخيرية تقوم الجمعيات من خلاله بإعلان عن نشاطاتها وتطبيق للمسخدمين يتم فيه عرض كل ماتقوم الجمعيات الخيرية بالاعلان عنه
عامر بوشي_ جهاد ططري,2020_2021,بيع وشراء الحيوانات الاليفة ,يهدف هذا تطبيق على تمكين البائع من ترويج حيواناته بالشكل المناسب للزبون وتسهيل التواصل بين الزبون والبائع وتسريع عملية البحث عن حيوانات وشرائها ومعرفة زبون للمراكز الصحية الاقرب لمنزله وتمكين زبائن من الاطلاع على حيوانات الاجنبية
حازم عيسى_ زكريا مهروسة,2020_2021,التعرف على الاشكال باستخداام الشبكات مدربة مسبقا وتعلم العميق,"يهدف هذا المشروع إلى تصميم وتنفيذ نظام متطور للتعرف على الأشكال الهندسية وتصنيفها آلياً باستخدام تقنيات التعلم العميق (Deep Learning). يعتمد المشروع على استراتيجية التعلم الانتقالي (Transfer Learning) من خلال توظيف شبكات عصبية تلافيفية (CNN) مدربة مسبقاً على قواعد بيانات ضخمة (مثل ResNet أو VGG16)، وإعادة ضبطها (Fine-tuning) لتصبح قادرة على تمييز الأشكال بدقة عالية حتى في ظروف الإضاءة المتغيرة أو الزوايا المختلفة. يساهم النظام في أتمتة عمليات الفرز الصناعي والتعرف البصري في الروبوتات."""
احمد بليد,2022_2023,نظام متابعة سير المواصلات ,تطبيق مخصص للسائق يقوم باستقبال طلبات الحجز ومعالجتها وتطبيق مخصص للراكب يقوم الراكب بانشاء حساب عليه ويقوم باستعراض السرافيس المتاحة خلال وقت معين ويقوم بالحجز غليها
محمود رحال,2022_2023,تصميم وتنفيذ برنامج ادارة شركة عبر الويب,في مشروعنا نقدم نموذج عن ادارة موارد شركة تجارية بكامل اقسامها عن طريق موقع الكتروني يساعد بشكل مباشر في ادارة افضل للشؤون المالية والضرائب مما يوفر الكثير من الاموال للمؤسسة حيث يقسم مشروع الى ثلاث اقسام وهي الادارة العامة و قسم الموارد البشرية وإضافة موظف جديد و قسم المالية 
محمود رحال,2022_2023,منظومة تحكم واتمتة عمل كراج,بسبب تفاقم مشكلة ازدياد عدد سيارات بوتيرة سريعة وخصوصا بالاماكن الحيوية وفي قلب مدن ظهرت مشكلة جديدة هي صعوبة ايجاد مواقف للسيارات فابلفترة الاخيرة اصبح من مهم تطبيق فكرة الكراج الذكي مؤتمت وانترنيت الاشياء هدف منه هو توفير من موارد البشرية وتوفير مواقف امنة للسيارات والحفاظ على مظهر حضاري للمدن
عثمان اسماعيل,2022_2023,                                 mammys,تصميم تطبيق لمساعدة المرأة الحامل في حصول على معلومات الصحيحة والمهمة في منابعة حملها ورعاية نفسها وطفلها بحيث يمكن للام الحامل الاعتماد على هذا تطبيق للحصول على معلومات هامة عن فترة الحمل وتطور جنين ونصائح الخاصة بحماية صحتها وصحة جنين وبعد الولادة يساعد الام على رعاية الكاملة لطفلها حتى عمر سنتين
احمد بليد,2022_2023,التسوق عن طريق مقايضة,هو تطبيق يمكن ان يتواجد بين ايدي الجميع ويوفر الكثير من جهد ووقت على المستخدمين ويوفر المال حيث اصبح بامكان اي شخص ان يقايض اشيائه القديمة باخرى يحتاجها فيستفيد ويفيد طرف الاخر ولايضطر لاهدار ماله بالتخلص من الاشياء التي لايريدها او يبيعها بارخص الاثمان
عثمان اسماعيل,2022_2023,        online herb shopping App,ان هذا نظام يمكن المستخدم من شراء الاعشاب او حصول على توصيات بشأن احتياجات المستخدم من الاعشاب من خلال الدردشة مع خبراء مثل خبير الاعشاب الغرض الاساسي من هذا مشروع هو مساعدة المستخدم على بحث بسهولة عن الاعشاب والفواكه التي ستكون مفيدة لصحة المستخدم اعتمادا على اي مشكلة صحية يعاني منها
احمد بليد,2022_2023,نظام حماية من تسريب الغازات والحرائق,في حال حدوث حريق في منزل يرتفع مستوى حرارة بشكل مفاجئ او يتواجد دخان يتفاعل الحساس ويولد اشارة تنبيه يتم تحويل الاشارة التنبيهية الى تنبيه صوتي ووضوئي كذلك الامر يتم ارسال رسالة تحذيرية الى مالك منزل بوجود حريق حيث يتم فتح نوافذ منزل واطلاق مياه ويستطيع مالك تحكم بمنزله بشكل كامل
عثمان اسماعيل,2022_2023,خدمات اولاين,هو عبارة عن برنامج يربط مقدمي الخدمات بطالبي الخدمات بحيث يقوم مقدم الخدمة بانشاء حساب على التطبيق واضافة الخدمة ووصف عنها والاجرة في ساعة ضمن تصنيف الخاص بالخدمة ويتم اضافة الخدمة الى تطبيق ليقوم مستخدم عادي في بحث عن خدمة بحسب تصنيف والمدينة ويقوم بمحادثة الشخص داخل التطبيق للاتفاق على الخدمة وشروطها كما اضافة تقييم الى مقدم الخدمة من قبل زبون الذي قدمت له الخدمة
محمد ايمن نعال,2022_2023,مقارنة وتطبيق نظم قواعد المعطيات غير العلائقية,يهدف الى تعرف على قواعد البيانات غير العلائقية وانجاز دراسة مفصلة تصنيفية وتطبيقية عليها مع مقارنة بينها وبين قاعدة البيانات العلائقية حيث يتألف هذا المشروع من موقع ويب لادارة بنك دن باستخدام قاعدة معطيات غير علائقية يساعد هذا موقع مستخدميه على تسجيل بياناتهم الشخصية من خلال انشاء حساب مستخدم خاص وذلك من اجل التبرع بالدم او من اجل الحصول عليه لمن هو بحاجة اليه
زكريا مهروسة,2022_2023,دراسة وتصميم متجر الكتروني لبيع منتجات الحاسوبية مع ادوات الاختيار الذكي,يهدف الى بناء وتطوير موقع خاص بمتجر الكتروني يمكن زبائن من القيام بعمليات الشراء للمنتجات الحاسوبية والخدمات التي تقدمها المتاجر الكترونيا بالاضافة الى استفادة في دعم المشاريع الصغيرة ومتوسطة الناشئة 
زكريا مهروسة,2022_2023,منظومة cnc للرسم عن طريق اجهزة الاندرويد,يقوم برنامج باعطاء الاوامر بشكل تتابعي لجميع المحركات والمتحكمات واكسسوارات الماكينة للقيام بعمليات التي طلبها المصمم كتابة الاوامر تجعل من سهل تنفيذ عمليات معقدة باستخدام ماكينة 
زكريا مهروسة, 2022_2023,محرر اكواد برمجية يعمل على اجهزة موبايل,عمل تطبيق يعمل على اجزة الموبايل وهو عبارة عن محرر اكواد برمجية app_Compiler للاشخاص اللذين لايملكون حاسب شخصي ويريدون تعلم البرمجة وامكانية كتابة الاكواد في اي وقت تم انشاء تطبيق باستخدام بيئة العمل Android Studio ولغة برمجة Dart و Flutter
سوسن إسجيع,2022_2023,تطبيق فيض من غيض الالكتروني,تطبيق الكتروني يقدم خدمة مجتمعية استثمارية تهدف للحد من هدر الاطعمة والاستفادة من الفائض منها في اطعام محتاجين حيث يهدف مشروع لإعطاء فرص للمتبرعين في مساعدة محتاجين و توفير الاقتصادي واستثمار الموارد الفائضة
جميلة ابراهيم,2022_2023,                                                                             whats Name,يستخدم مشروع للاطلاع على اخر الاخبار الرياضية والتكنولوجية والاقتصادية حيث يستطيع المستخدم البحث عن خبر ما بإدخال كلمة مفتاحية فيقوم تطبيق بإعطائه عدد كبير من مقالات التي تم ارجاعها من ال API المستخدمة في تطبيق كما ان تطبيق يتيح للمستخدم امكانية البحث عن عمل من خلال الاطلاع على فرص العمل المتاحة
عثمان اسماعيل,2022_2023,تطبيق ابلاغات وشكاوي للمؤسسات الحكومية,هذا تطبيق يساعد على تحسين خدمات الحكومية والشركات الخاصة وتحسين علاقتها مع المواطنين وهذا يعني انه سيسهم في تطوير المجتمع بشكل عام حيث يساعد على تسهيل عملية تقديم شكوى ويساعد تطبيق على تحسين جودة الخدمة المقدمة للمواطنين ويساعد على توفير الوقت والجهد الازمين للتواصل مع الجهات المعنية 
جميلة ابراهيم,2022_2023,تطبيق اندرويد لتنظيم الاعراس,يعد تطبيق wedPlan اداة مفيدة للعرسان الذين يرغبون في تنظيم وتخطيط حفل الزفاف بشكل افضل فهو يوفر لهم قائمة بالمهام والاحداث الهامة ويساعدهم في تحليل الميزانية وادارة المصروفات ويجعل من تجربة التخطيط لحفل الزفاف ممتعة وسهلة
محمد ايمن نعال,2022_2023,خدمات ويب,انشاء واستثمار خدمة ويب باستخدام تقنية wcf على مخدم محلي وزبون نركز في هذا مشروع على خطوات انشاء واستثمار خدمة ويب بحيث يمكن للمطلع على هذا المشروع تنفيذ الخطوات المعطاة للحصول على النتائج نفسها 
اياد هلالي, 2022_2023,تطبيق ويب لاتمتة عيادة سنية ,يهدف النظام الى السرعة في انجاز العمل والدقة في نتائج وتوفير الوقت والجهد عند البحث عن ملف معين وتوفير الامن وسرية للملفات وامكانية حفظ الملفات لاطول فترة ممكنة و الانتباه لتواريخ صلاحية المواد مستخدة ونفاذها ومعرفة دفعات المريض المالية فمن مهام نظام هو بناء تطبيق ويب ينجز المهام التالية وهو ادخال بيانات المرضى الجدد وادخال الكلفة الكلية للمعالجة ودفعات واختيار حالة السن الذ يتم معالجته وادخال صورة الفك لسجل المريض ارسال رسالة للمريض قبل موعده بيوم لتذكيره واستعراض ملفات المرضى السابقة والبحث عنهم 
اياد هلالي,2022_2023,تلوين الصور الرمادية باستخدام تقنيات الذكاء الاصطناعي,
ديمة مفتي الشوافعة,2022_2023,تطبيق اندرويد للحد من ظاهرة المفقودات,تصميم تطبيق اندرويد يتم من خلاله تخزين معلومات حول الاشياء التي يفقدها الاشخاص ويجدون صعوبة في ايجادها بسبب فقدانها في اماكن بعيدة بالاضافة الى تخزين معلومات عن الاشياء التي يتم العثور عليها في مكان ما دون هوية صاحبها حيث يتم تواصل معه واعادة الغرض المفقود اليه
محمد ايمن نعال,2022_2023,اتمتة صيدلية عن طريق تطبيق باركود,يهدف الى دقة صرف الادوية وذلك لحماية المريض كما يساهم تطبيق الباركود في تعرف على المواصفات العلبة الدوائية بسهولة ومراقبة كميات الادوية وتنبيه عند قرب من انتهائها واتمتة عمليات الجرد وادارة الحسابات 
ديمة مفتي الشوافعة,  2022_2023,لعبة سيارات لذوي الاحتياجات الخاصة عن طريق حركة الرأس," المشروع عبارة عن لعبة سباق سيارات يتم التحكم بها بالكامل عن طريق حركات الرأس، مما يمنح المستخدم شعوراً بالحرية والاستقلالية والترفيه دون الحاجة لاستخدام اليدين أو أدوات التحكم التقليدية. يهدف الى الدمج الرقمي: كسر الحواجز التقنية أمام ذوي الاحتياجات الخاصة  العلاج الترفيهي: تحسين المهارات الإدراكية والتنسيق البصري الحركي للرأس  الابتكار: تقديم حلول برمجية منخفضة التكلفة (تعتمد على الكاميرا فقط) بدلاً من الأجهزة الباهظة "
محمد ايمن نعال,2022_2023,محاكاة روبوت يوازن على عجلتين,"يهدف إلى بناء نظام محاكاة برمجية لروبوت غير مستقر ديناميكياً يتوازن على عجلتين فقط (مثل مبدأ السكوتر الذكي Segway). يعتمد المشروع على محاكاة قوانين الفيزياء (الجاذبية، العزم، الاحتكاك) وتطبيق خوارزميات تحكم ذكية للحفاظ على وضعية الوقوف العمودي ومنع الروبوت من السقوط أثناء الحركة أو التعرض لمؤثرات خارجية."""
اياد هلالي,2022_2023,تصميم وتنفيذ تطبيق لحماية مواقع الويب من الاختراق,"يهدف إلى تصميم وتنفيذ نظام حماية متطور يعمل كطبقة دفاعية (Firewall) لمواقع الويب. يقوم المشروع بتحليل حركة المرور (Traffic) الواردة للموقع في الوقت الفعلي، واكتشاف المحاولات الاختراقية وتصفيتها قبل وصولها إلى قاعدة البيانات أو خادم الموقع، مما يضمن استمرارية الخدمة وأمان بيانات المستخدمين."
اياد هلالي,2022_2023,تصميم وتنفيذ تطبيق لمتابعة الصحة الغذائية والعلاجية,"يهدف إلى تصميم وتنفيذ تطبيق هاتف محمول متكامل يعمل كمنصة شخصية لمتابعة الحالةالصحيةالصحية والغذائية للمستخدم. يجمع التطبيق بين إدارة النظام  الغذائي اليومي وتتبع الخطة الدوائية، مع توفير تحليلات ذكية وتنبيهات مخصصة لضمان التزام المستخدم بنمط حياة صحي وآمن"
,,,
فيروز شكور,2022_2023,تطبيق اندرويد لمتابعة مرضى الزهايمر عن طريق Gps,"يهدف إلى تصميم وتنفيذ تطبيق أندرويد متكامل لمساعدة أهالي مرضى الزهايمر في مراقبة وحماية ذويهم. يعتمد التطبيق بشكل أساسي على تقنية  تحديد المواقع الجغرافية (GPS) لتوفير طبقة أمان تمنع ضياع المريض وتسهل الوصول إليه في حالات الطوارئ  سيناريو الاستخدام (User Stories): عند المريض: واجهة صفر تعقيد"" فيها بس زر SOS كبير. عند الأهل: خريطة فيها ""نقطة عم تتحرك"" بتمثل المريض، وزر لضبط ""المنطقة الآمنة"""
فيروز شكور,2022_2023,تطبيق لاستخراج سمات معينة من ملفات صوتية,"يهدف هذا المشروع إلى تصميم وتنفيذ نظام برمجبي متقدم لمعالجة الإشارات الرقمية (DSP)، يختص بتحليل واستخراج السمات الجوهرية (Feature Extraction) من الملفات الصوتية الخام. يعتمد النظام على تحويل الموجات الصوتية إلى تمثيلات رياضية ونماذج طيفية (Spectrograms) باستخدام خوارزميات مثل (MFCCs)، مما يتيح فهم الخصائص الفيزيائية والنغمية للصوت وتجهيزها للاستخدام في تطبيقات الذكاء الاصطناعي والتعرف على الأنماط."""
فيروز شكور,2022_2023,نظام مراقبة للصور,"يهدف هذا المشروع إلى تصميم وبناء نظام مراقبة ذكي يعتمد على تقنيات الرؤية الحاسوبية ومعالجة الصور الرقمية. يقوم النظام بتحليل تدفق الصور (Image Stream) لحظياً للكشف عن الأنماط، وتحديد الأجسام، وتتبع الحركة. يتميز النظام بالقدرة على اتخاذ قرارات تلقائية بناءً على محتوى الصورة، مثل إرسال تنبيهات عند رصد دخول غير مصرح به أو التعرف على وجوه محددة، مما يقلل من التدخل البشري ويرفع كفاءة الأنظمة الأمنية."""
زكريا مهروسة,2022_2023,اتمتة نادي رياضي,"يقوم النظام برقمنة سجلات المشتركين، تتبع الاشتراكات المالية، وتنظيم الجداول التدريبية والغذائية. يتميز النظام بقدرته على توفير تقارير إحصائية دقيقية للإدارة، مما يسهل اتخاذ القرارات، ويرفع كفاءة التواصل بين المدرب والمشترك عبر واجهة تفاعلية ذكية."""
جميلة ابراهيم,2022_2023,موقع ويب لمعرض حواسيب محمولة وهواتف ذكية,"يهدف هذا المشروع إلى تصميم وتطوير موقع ويب متطور يعمل كمعرض رقمي ومنصة بيع لأجهزة الحاسوب المحمولة والهواتف الذكية. يركز المشروع على بناء قاعدة بيانات ديناميكية تتيح تصنيف الأجهزة بناءً على مواصفاتها التقنية الدقيقة (المعالج، الذاكرة، الشاشة)، مع توفير نظام مقارنة ذكي يساعد المستخدم في اتخاذ قرار الشراء. يتبنى الموقع معايير التصميم المتجاوب (Responsive Design) لضمان تجربة مستخدم سلسة عبر كافة الأجهزة، مع نظام إدارة محتوى (CMS) قوي يتيح لمدير المعرض تحديث المخزون والأسعار لحظياً."""
احمد بليد,2022_2023,تحكم بالحاسوب عن طريق حركة يد,"يهدف هذا المشروع إلى ابتكار وسيلة تفاعل غير تلامسية بين المستخدم وجهاز الحاسوب، وذلك من خلال تصميم وتنفيذ نظام برمجبي يقوم بتحليل إيماءات اليد (Hand Gestures) لحظياً وتحويلها إلى أوامر تحكم فعلية (مثل تحريك المؤشر، النقر، التكبير، أو التنقل بين الصفحات). يعتمد المشروع على خوارزميات الذكاء الاصطناعي ومعالجة الصور لتعقب مفاصل اليد بدقة عالية باستخدام كاميرا الويب العادية، مما يلغي الحاجة للأجهزة الطرفية التقليدية."""
احمد بليد,2022_2023,منصة الكترونية لجمعية خيرية,"يهدف هذا المشروع إلى تصميم وتنفيذ منصة إلكترونية متكاملة لأتمتة العمليات الإدارية والمالية داخل الجمعيات الخيرية. تعمل المنصة كجسر تقني يربط بين المتبرعين وحالات الاحتياج الفعلي بفعالية عالية، مع توفير نظام تتبع لحظي للتبرعات لضمان أعلى مستويات الشفافية. يعتمد النظام على بنية برمجية تدعم قواعد البيانات الضخمة، وتوفر واجهات سهلة الاستخدام تضمن سرعة الوصول للخدمات وتوزيع المساعدات بشكل عادل ودقيق."""
ديما مفتي الشوافعة,2022_2023, موقع تكيفي للتدريب على حل مسائل برمجية تنافسية,"يتميز النظام ببيئة محاكاة ذكية تقوم بتحليل أداء المستخدم في حل الخوارزميات وهياكل البيانات (Data Structures)، ومن ثم استخدام خوارزمية تكيفية لترشيح المسائل البرمجية التي تقع ضمن 'منطقة التعلم القريبة' للمستخدم (بناءً على زمن الحل، عدد المحاولات، وتعقيد الكود). يوفر النظام مصححاً آلياً (Online Judge) لتقييم الحلول لحظياً وضمان كفاءتها البرمجية من حيث الوقت والمساحة."""
محمود رحال,2022_2023,اتمتة خدمات امتحانية للمعاهد,"يهدف هذا المشروع إلى تحويل العمليات الامتحانية التقليدية في المعاهد إلى نظام رقمي متكامل يضمن السرعة والدقة. يقوم النظام بأتمتة كافة مراحل العملية الامتحانية؛ بدءاً من توزيع الطلاب على القاعات وتوليد أرقام الجلوس، مروراً بإدخال الدرجات ومعالجتها وفق اللوائح الأكاديمية، وصولاً إلى استخراج النتائج والمصدقات آلياً. يركز المشروع على توفير أقصى درجات الأمان وحماية البيانات من التلاعب، مع تقديم تقارير إحصائية دقيقة للإدارة حول نسب النجاح والرسوب."""
سوسن اسجيع,2022_2023,ادارة فندق مع تقديم خدمة الكراج الذكي,"يهدف هذا المشروع إلى تصميم وتنفيذ منصة برمجية شاملة لأتمتة عمليات الفنادق، بدءاً من الحجز والاستقبال (Front Desk) وصولاً إلى إدارة المرافق. الميزة التنافسية للمشروع هي نظام الكراج الذكي (Smart Parking) المدمج؛ حيث يقوم النظام بتخصيص مواقف السيارات للنزلاء آلياً عند الحجز، مع مراقبة توفر المواقف لحظياً باستخدام الحساسات، مما يرفع كفاءة استغلال المساحات ويحسن تجربة النزيل عبر تقليل وقت البحث عن موقف."""
عثمان اسماعيل,2022_2023,تطبيق للتسوق داخل مول باستخدام الواقع المعزز,"يهدف هذا المشروع إلى تحويل تجربة التسوق التقليدية داخل المراكز التجارية إلى تجربة رقمية تفاعلية باستخدام تقنية الواقع المعزز (Augmented Reality). يقوم التطبيق بمساعدة المتسوقين على الملاحة الداخلية (Indoor Navigation) للوصول إلى المتاجر والمنتجات بسهولة، مع عرض معلومات إضافية، عروض ترويجية، وأسعار المنتجات بشكل افتراضي فوق المنتجات الحقيقية عبر كاميرا الهاتف، مما يساهم في تخصيص تجربة المستخدم ورفع كفاءة التسوق"
جميلة ابراهيم,2022_2023,تطبيق اندرويد لادارة شركة سيارات ,"يهدف هذا المشروع إلى تصميم وتنفيذ تطبيق أندرويد متكامل لأتمتة العمليات الإدارية والتقنية داخل شركات السيارات. يوفر التطبيق نظاماً مركزياً لإدارة المخزون (Inventory)، وتتبع المبيعات، وعقود الصيانة أو التأجير. يركز المشروع على رقمنة السجلات الورقية وتحويلها إلى قاعدة بيانات ديناميكية تتيح للإدارة مراقبة الأداء المالي، وحالة المركبات، وتفاعلات العملاء لحظياً، مع توفير تقارير تحليلية تدعم اتخاذ القرارات الاستراتيجية للشركة"
ديمة مفتي الشوافعة,2022_2023,معرفة اراء المستخدمين حول منتجات عدة,"يهدف هذا المشروع إلى تصميم وتنفيذ نظام برمجبي يقوم بجمع وتحليل آراء المستخدمين (Reviews) حول منتجات متنوعة من منصات التجارة الإلكترونية. يعتمد النظام على تقنيات تعلم الآلة (Machine Learning) ومعالجة اللغات الطبيعية (NLP) لتصنيف التعليقات آلياً إلى (إيجابية، سلبية، أو محايدة). يساهم المشروع في تقديم رؤية تحليلية دقيقة للشركات حول جودة منتجاتها ومدى رضا العملاء، مما يساعد في اتخاذ قرارات تطويرية مبنية على بيانات واقعية بدلاً من التخمين"
